KBN,parent_id,marriage_number,relationship_number,adopted,adopted_day
3443,344,1,1,,
34431,3443,1,1,,
344311,34431,1,1,,
3443111,344311,1,1,,
3443112,344311,1,1,,
344312,34431,1,1,,
3443121,344312,1,1,,
3443122,344312,1,1,,
34432,3443,1,1,,
344321,34432,1,1,,
3443211,344321,1,1,,
344322,34432,1,1,,
345,34,1,1,,
3451,345,1,1,,
34511,3451,1,1,,
345111,34511,1,1,,
34512,3451,1,1,,
345121,34512,1,1,,
345122,34512,1,1,,
346,34,1,1,,
3461,346,1,1,,
34611,3461,1,1,,
34612,3461,1,1,,
3462,346,1,1,,
34621,3462,1,1,,
346211,34621,1,1,,
346212,34621,1,1,,
35,3,2,2,,
351,35,1,1,,
3511,351,1,1,,
353,35,1,1,,
3531,353,1,1,,
35311,3531,1,1,,
353111,35311,1,1,,
3531111,353111,1,1,,
3531112,353111,1,1,,
353112,35311,1,1,,
3531121,353112,1,1,,
3532,353,1,1,,
35321,3532,1,1,,
353211,35321,1,1,,
3532111,353211,1,1,,1993
353212,35321,1,1,,
3533,353,1,1,,
35331,3533,1,1,,
353311,35331,1,1,,
353312,35331,1,1,,
35332,3533,1,1,,
353321,35332,1,1,,
354,35,1,1,,
3541,354,1,1,,
35411,3541,1,1,,
354111,35411,1,1,,
3541111,354111,1,1,,
354112,35411,1,1,,
35412,3541,1,1,,
354121,35412,1,1,,
3541211,354121,1,1,,
354122,35412,1,1,,
354123,35412,1,1,,
35413,3541,1,1,,
3542,354,1,1,,
35421,3542,1,1,,
354211,35421,1,1,,
354212,35421,1,1,,
35422,3542,1,1,,
354221,35422,1,1,,
354222,35422,1,1,,
3543,354,1,1,,
35431,3543,1,1,,
354311,35431,1,1,,
354312,35431,1,1,,
35432,3543,1,1,,
354321,35432,1,1,,
354322,35432,1,1,,
354323,35432,1,1,,
35433,3543,1,1,,
354331,35433,1,1,,
354332,35433,1,1,,
355,35,1,1,,
356,35,1,1,,
3561,356,1,1,,
35611,3561,1,1,,
356111,35611,1,1,,
356112,35611,1,1,,
35612,3561,1,1,,
3562,356,1,1,,
35621,3562,1,1,,
356211,35621,1,1,,
356212,35621,1,1,,
35622,3562,1,1,,
356221,35622,1,1,,0
3563,356,1,1,,
357,35,1,1,,
3571,357,1,1,,
35711,3571,1,1,,
35712,3571,1,1,,
357121,35712,1,1,,
3571211,357121,0,1,,202012
357122,35712,1,1,,
35713,3571,1,1,,
3572,357,1,1,,
35721,3572,1,1,,
35722,3572,1,1,,
357221,35722,1,1,,
357222,35722,1,1,,
357223,35722,1,1,,
35723,3572,1,1,,
357231,35723,1,1,,
357232,35723,1,1,,
357233,35723,1,1,,
4,,2,2,,
41,4,1,1,,
411,41,1,1,,
412,41,1,1,,
413,41,1,1,,
414,41,1,1,,
4141,414,1,1,,
4142,414,1,1,,
415,41,1,1,,
4151,415,1,1,,
4152,415,1,1,,
41521,4152,1,1,,
415211,41521,1,1,,
415212,41521,2,2,,
41522,4152,1,1,,
415221,41522,1,1,,
42,4,1,1,,
421,42,1,1,,
422,42,1,1,,
4221,422,1,1,,
42211,4221,1,1,,0
42212,4221,1,1,,10
422121,42212,1,1,,
4221211,422121,1,1,,
4221212,422121,1,1,,
4221213,422121,1,1,,
4221214,422121,0,3,,
422122,42212,1,1,,
4221221,422122,1,1,,
4221222,422122,1,1,,
4221223,422122,1,1,,
422123,42212,1,1,,
4221231,422123,1,1,,
422124,42212,1,1,,
422125,42212,2,2,,
422126,42212,2,2,,
4222,422,1,1,,
42221,4222,1,1,,
422211,42221,1,1,,
4222111,422211,1,1,,
4222112,422211,1,1,,
4222113,422211,1,1,,
42222,4222,1,1,,
422221,42222,1,1,,
422222,42222,1,1,,
42223,4222,1,1,,
422231,42223,1,1,,
422232,42223,1,1,,
